Id. de pedido;Cliente;Empleado;Fecha de pedido;Fecha de entrega;Fecha de envío;Forma de envío;Cargo;Nombre de destinatario;Dirección de destinatario;Ciudad de destinatario;Región de destinatario;Código postal de destinatario;País de destinatario
11335;WILMK;5;4/7/2018 00:00;1/8/2018 00:00;16/7/2018 00:00;3;$ 32,38;Wilman Kala;Keskuskatu 45;Helsinki;;21240;Finlandia
11336;TOMSP;6;5/7/2018 00:00;16/8/2018 00:00;10/7/2018 00:00;1;$ 11,61;Toms Spezialitäten;Luisenstr. 48;Münster;;44087;Alemania
11337;HANAR;4;8/7/2018 00:00;5/8/2018 00:00;12/7/2018 00:00;2;$ 65,83;Hanari Carnes;Rua do Paço, 67;Río de Janeiro;RJ;05454-876;Brasil
11338;VICTE;3;8/7/2018 00:00;5/8/2018 00:00;15/7/2018 00:00;1;$ 41,34;Victuailles en stock;2, rue du Commerce;Lyon;;69004;Francia
11339;SUPRD;4;9/7/2018 00:00;6/8/2018 00:00;11/7/2018 00:00;2;$ 51,30;Suprêmes délices;Boulevard Tirou, 255;Charleroi;;B-6000;Bélgica
11340;HANAR;3;10/7/2018 00:00;24/7/2018 00:00;16/7/2018 00:00;2;$ 58,17;Hanari Carnes;Rua do Paço, 67;Río de Janeiro;RJ;05454-876;Brasil
11341;CHOPS;5;11/7/2018 00:00;8/8/2018 00:00;23/7/2018 00:00;2;$ 22,98;Chop-suey Chinese;Hauptstr. 31;Bern;;3012;Suiza
11342;RICSU;9;12/7/2018 00:00;9/8/2018 00:00;15/7/2018 00:00;3;$ 148,33;Richter Supermarkt;Starenweg 5;Genève;;1204;Suiza
11343;WELLI;3;15/7/2018 00:00;12/8/2018 00:00;17/7/2018 00:00;2;$ 13,97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brasil
11344;HILAA;4;16/7/2018 00:00;13/8/2018 00:00;22/7/2018 00:00;3;$ 81,91;HILARIÓN-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
